year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,medical and pharmaceutical products sales professional,11385,7259,5524,11385,7259,5524
2024,medical device assembler/repairer,5076,3714,2791,5070,3714,2791
2024,medical diagnostic radiographer,7253,5716,4606,7031,5562,4565
2024,medical laboratory scientist,7443,5979,5412,7443,5979,5412
2024,medical scientist,6500,5833,5400,6500,5833,5400
2024,medical social worker,6513,4915,4203,6495,4882,4200
2024,medical x-ray technician,7427,3540,2815,7427,3540,2815
2024,medical/dental receptionist,3197,2810,2460,3140,2699,2306
2024,merchandising/category executive,4000,3197,2468,4000,3100,2250
2024,merchandising/category manager,13320,8746,6000,13000,8500,5792
2024,metal heat treating plant operator,7480,4652,3240,7480,4652,2867
2024,"metal melter, caster and rolling mill operator",3000,2671,2568,3000,2670,2498
2024,metal moulder and coremaker,3940,3384,2626,3940,3359,2550
2024,metalworking machine setter-operator,4045,2809,2178,3290,2512,2010
2024,minister of religion,12804,6637,4472,11770,6050,4300
2024,mobile machinery supervisor and general foreman,2820,2522,2457,2205,1987,1980
2024,money changer,5876,3750,2812,5876,3750,2812
2024,motor vehicle cleaner/polisher,2100,1700,1400,1800,1600,1400
2024,motorcycle delivery man,2626,2080,1537,2366,1880,1358
2024,mover,3500,2223,1700,3000,2170,1600
2024,multimedia (including games) designer,7584,5319,4497,7500,5319,4390
2024,multimedia (including games) developer,9496,6331,5422,9496,6331,5422
2024,multimedia artist and animator,8177,5000,3775,8177,4996,3775
2024,music instructor (extracurriculum),3880,3000,2600,3880,3000,2600
2024,"network, communications and infrastructure manager",14724,10750,8493,14515,10730,8461
2024,"network, servers and computer systems administrator",6920,4765,3688,6755,4750,3614
2024,non-ordained religious associate professional,4437,3611,2771,4413,3600,2750
2024,nursing aide/assistant,3381,3000,2432,3263,2800,2315
2024,nutritionist,8074,4684,3232,7745,4400,3000
